city,name,address,latitude,longitude,state,country,michelin_stars,chef,google_maps_link,website,venue_type,cuisine_type,collection,notes,description
Talkeetna,Denali Fireside Cabins & Suites,"22647 Talkeetna Spur Rd, Talkeetna, AK 99676, USA",62.31942129999999,-150.1046038,Alaska,United States,0,,https://www.google.com/maps/place/Denali+Fireside+Cabins+%26+Suites/data=!4m2!3m1!1s0x56ce958c854d490d:0x62441fb6c16ae069,http://www.denalifireside.com/,Hotel,,Saved,,"Cozy cabins and suites featuring log furniture & gas fireplaces,..."
Homer,Ocean House Inn Hotel and Condos,"1065 Krueth Way, Homer, AK 99603, USA",59.63521179999999,-151.5160396,Alaska,United States,0,,https://www.google.com/maps/place/Ocean+House+Inn+Hotel+and+Condos/data=!4m2!3m1!1s0x56c12dec9210e031:0x171b8f71eb4ae9c0,http://www.homeroceanhouse.com/,Hotel,,Saved,,"Casual guesthouse set on a bay offering homey rooms, plus..."
Seward,Exit Glacier Nature Center,"24620 Herman Leirer Rd, Seward, AK 99664, USA",60.1883267,-149.631557,Alaska,United States,0,,https://www.google.com/maps/place/Exit+Glacier+Nature+Center/data=!4m2!3m1!1s0x56c7a20bca43db7b:0x2d91546a2bc16e5d,http://www.nps.gov/kefj/planyourvisit/exit-glacier-area.htm,Hiking,,Saved,,
Seward,Seward Windsong Lodge,"31772 Herman Leirer Rd, Seward, AK 99664, USA",60.152666,-149.433366,Alaska,United States,0,,https://www.google.com/maps/place/Seward+Windsong+Lodge/data=!4m2!3m1!1s0x56c79b8ef20ce4d3:0x8254801f494a40eb,http://www.sewardwindsong.com/,Hotel,,Saved,,"Expansive seasonal lodge with log-cabin-style rooms & suites, plus dining..."
Denali National Park and Preserve,Denali Cabins - Denali National Park,"229 Parks Hwy, Denali National Park and Preserve, AK 99755, USA",63.6345901,-148.7854309,Alaska,United States,0,,https://www.google.com/maps/place/Denali+Cabins+-+Denali+National+Park/data=!4m2!3m1!1s0x56cdefffffffffff:0x7c8eb6000ebf8991,https://www.alaskacollection.com/lodging/denali-cabins/,Hotel,,Saved,,"Rustic cabins, plus a relaxed restaurant, hot tubs & a..."
Palmer,Alaska State Fair Inc,"2075 Glenn Hwy, Palmer, AK 99645, USA",61.580853,-149.130762,Alaska,United States,0,,https://www.google.com/maps/place/Alaska+State+Fair+Inc/data=!4m2!3m1!1s0x56c8e20e71f47e65:0xece7c655e8cc9858,http://www.alaskastatefair.org/,Restaurant,,Saved,,
,Matanuska Glacier,"Matanuska Glacier, Alaska, USA",61.6558333,-147.581111,Alaska,United States,0,,https://www.google.com/maps/place/Matanuska+Glacier/data=!4m2!3m1!1s0x56c995194c250291:0xdc683d977b34deb,,Hiking,,Saved,,"Traction shoes are recommended on this glacier, the biggest in..."
Anchorage,Alaska Wildlife Conservation Center,"43520 Seward Hwy, Girdwood, AK 99587, USA",60.8212004,-148.9792243,Alaska,United States,0,,https://www.google.com/maps/place/Alaska+Wildlife+Conservation+Center/data=!4m2!3m1!1s0x56c876b20a7fd467:0xd959a1a66e3b4773,https://www.alaskawildlife.org/?utm_source=google&utm_medium=organic+&utm_campaign=gbp,Hiking,,Saved,,"Refuge for sick, wounded & orphaned animals that offers visitors..."
Denali National Park and Preserve,Denali Visitor Center,"Park Rd, Denali National Park and Preserve, AK 99755, USA",63.730855,-148.9170622,Alaska,United States,0,,https://www.google.com/maps/place/Denali+Visitor+Center/data=!4m2!3m1!1s0x56ccdf53c9180297:0x17eb2b5bac3f2ce6,http://www.nps.gov/dena/planyourvisit/the-denali-visitor-center.htm,Hiking,,Saved,,"Info & welcome center offering ranger programs, exhibits, displays of..."
Chamonix-Mont-Blanc,Le Pèle,"78 Rue des Moulins, 74400 Chamonix-Mont-Blanc, France",45.9243277,6.870447599999999,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Le+P%C3%A8le/data=!4m2!3m1!1s0x47894f28eddc4319:0xc609e7075358243b,https://lepele-chamonix.com/,Bar,,Saved,,
Chamonix-Mont-Blanc,Le Refuge Payot,"166 Rue Joseph Vallot, 74400 Chamonix-Mont-Blanc, France",45.9247142,6.869887299999999,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Le+Refuge+Payot/data=!4m2!3m1!1s0x47894e76691b5b55:0x349504da84710975,http://www.refugepayot.com/,Shop,,Saved,,
Chamonix-Mont-Blanc,Odlo Store Chamonix,"30 Av. Michel Croz, 74400 Chamonix-Mont-Blanc, France",45.92345359999999,6.870139900000001,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Odlo+Store+Chamonix/data=!4m2!3m1!1s0x47894e76ecf4b141:0xa976a31224e6f7b9,https://odlo.com/,Shop,,Saved,,
Chamonix-Mont-Blanc,Company Des Guides Of Chamonix,"190 Pl. de l'Église, 74400 Chamonix-Mont-Blanc, France",45.9240833,6.8685278,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Company+Des+Guides+Of+Chamonix/data=!4m2!3m1!1s0x47894e7680741619:0x422b530c8fb9fff2,https://www.chamonix-guides.com/,Hiking,,Saved,,
Chamonix-Mont-Blanc,Boucherie Fromagerie du Mont Blanc - Chamonix Mont-Blanc,"156 Rue du Dr Paccard, 74400 Chamonix-Mont-Blanc, France",45.9219029,6.867961299999999,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Boucherie+Fromagerie+du+Mont+Blanc+-+Chamonix+Mont-Blanc/data=!4m2!3m1!1s0x47894e73e442929b:0x650639084034cbd2,,Shop,,Saved,,
Chamonix,Brévent gondola cable car,"74400 Chamonix, France",45.9354909,6.853480999999999,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Br%C3%A9vent+gondola+cable+car/data=!4m2!3m1!1s0x47894f31cc123edb:0x92a0bffaf2fd4560,,Restaurant,,Saved,,
Chamonix-Mont-Blanc,Le Comptoir des Alpes,"151 Av. de l'Aiguille du Midi, 74400 Chamonix-Mont-Blanc, France",45.9197367,6.8686509,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Le+Comptoir+des+Alpes/data=!4m2!3m1!1s0x47894e71730d7e45:0x35c2dad7825fd7dc,https://comptoir-des-alpes.com/fr/,Bar,,Saved,,
Chamonix-Mont-Blanc,JOIA by Pizzeria Des Moulins,"95 Rue des Moulins, 74400 Chamonix-Mont-Blanc, France",45.9245439,6.870396899999999,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/JOIA+by+Pizzeria+Des+Moulins/data=!4m2!3m1!1s0x47894e7645257c3f:0x75ec8cf07d56cfa8,https://www.joiachamonix.fr/,Restaurant,Italian,Saved,,
Long Beach,Cool Cats,"2741 E 4th St C, Long Beach, CA 90814, USA",33.7719487,-118.1593986,California,United States,0,,https://www.google.com/maps/place/Cool+Cats/data=!4m2!3m1!1s0x47894e7659623a43:0x25d88001e73702a4,http://konekonyc.com/,Shop,,Saved,,
,Munchie,"848 Nostrand Ave, Brooklyn, NY 11225, USA",40.6691162,-73.9507181,New York,United States,0,,https://www.google.com/maps/place/Munchie/data=!4m2!3m1!1s0x47894e765bd3ef89:0x1bbfa2dc850299b4,https://the-munchies.shop/,Restaurant,,Saved,,
Chamonix-Mont-Blanc,ELA,"416 Rue Joseph Vallot, 74400 Chamonix-Mont-Blanc, France",45.9269391,6.8703807,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/ELA/data=!4m2!3m1!1s0x47894dd8bd2d4abb:0xd9dffbbae1a6ad52,https://www.facebook.com/ela.chx,Restaurant,,Saved,,
Montréal,Le Bivouac,"1255 Rue Jeanne-Mance, Montréal, QC H5B 1B2, Canada",45.5073208,-73.56543309999999,Québec,Canada,0,,https://www.google.com/maps/place/Le+Bivouac/data=!4m2!3m1!1s0x47894e76149c65b7:0x95104f2aa7704e0,https://restaurantbivouac.com/,Restaurant,,Saved,,
Chamonix-Mont-Blanc,Le Petit Social,"1486 Rte des Praz, 74400 Chamonix-Mont-Blanc, France",45.9398573,6.8836109,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Le+Petit+Social/data=!4m2!3m1!1s0x47894d2ea1868915:0x4f8e042a816d6ad7,https://www.facebook.com/Le-Petit-Social-176633812916236,Cafe,,Saved,,
Chamonix-Mont-Blanc,Local CHX,"128 Pl. Edmond Desailloud, 74400 Chamonix-Mont-Blanc, France",45.918236,6.8688302,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Local+CHX/data=!4m2!3m1!1s0x47894e7199e4f655:0xce607348dc3893c8,https://www.localchx.com/,Shop,,Saved,,
Chamonix-Mont-Blanc,QC Terme Chamonix,"480 Prom. du Fori, 74400 Chamonix-Mont-Blanc, France",45.9292949,6.8748616,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/QC+Terme+Chamonix/data=!4m2!3m1!1s0x47894d47418d0f71:0x16cef10a2b9d6b61,https://www.qcterme.com/fr/destinations/chamonix/qc-spa-chamonix,Bar,,Saved,,
New York,Josephine Restaurant,"414 W 42nd St, New York, NY 10036, USA",40.7586405,-73.9934984,New York,United States,0,,https://www.google.com/maps/place/Josephine+Restaurant/data=!4m2!3m1!1s0x47894e76fb08c061:0x1fdb924ee29819ad,http://www.chezjosephinenyc.com/,Bar,,Saved,,Opulent restaurant honoring Josephine Baker with French cuisine and live piano.
Chamonix,L'Aiguille du Midi,"Aiguille du Midi, 74400 Chamonix, France",45.8793111,6.887424299999999,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/L'Aiguille+du+Midi/data=!4m2!3m1!1s0x47894e6cee672353:0x85bee1f3c7bad4bf,,Hiking,,Saved,,
Chamonix,Planpraz gondola lift,"74400 Chamonix, France",45.9354909,6.853480999999999,Auvergne-Rhône-Alpes,France,0,,https://www.google.com/maps/place/Planpraz+gondola+lift/data=!4m2!3m1!1s0x47894fdb303421d7:0x6939c118023e5bbd,https://domaineschamonix.montblancnaturalresort.com/fr/domaine/brevent,Restaurant,,Saved,,
New Rochelle,Veracruz All Natural,"330 Webster Ave, New Rochelle, NY 10801, USA",40.914483,-73.7944747,New York,United States,0,,https://www.google.com/maps/place/Veracruz+All+Natural/data=!4m2!3m1!1s0x8644b5b38fd739e5:0x6f69e99ff00704d5,https://elnuevocafeveracruzny.com/,Bar,,Saved,,
Fort Davis,University of Texas McDonald Observatory,"3640 Dark Sky Dr, Fort Davis, TX 79734, USA",30.67947869999999,-104.024993,Texas,United States,0,,https://www.google.com/maps/place/University+of+Texas+McDonald+Observatory/data=!4m2!3m1!1s0x86ef8e1e08b7579b:0xfe4176c642e99fd3,http://mcdonaldobservatory.org/,Hiking,,Saved,,"Observatory at UT Austin with an exhibit gallery, theater for..."
Lexington,Snow's BBQ,"516 Main St, Lexington, TX 78947, USA",30.4133586,-97.0096923,Texas,United States,0,,https://www.google.com/maps/place/Snow's+BBQ/data=!4m2!3m1!1s0x86445ea1200576a9:0x28fc4cc3aa69a5f2,https://snowsbbq.com/,Restaurant,BBQ,Saved,,"Rural smokehouse serving acclaimed ribs, brisket, sausage, pork & chicken..."
